# Exact Mahonian harness extension, m = 4..400
# Exact integer/Fraction arithmetic in every verdict; floats display-only.
# sigma^2 = m(m-1)(2m+5)/72; C_SHARP = 187/216 = 0.8657407407407407
# mfit column = m*(1 - varfit), predicted -> 27/25 = 1.08
   m      N argmin    mid          r-1       varfit     mfit verdict
 204  20706  10353  10353   4.1875e-06 0.9947154881  1.07804   PASS
 205  20910  10455  10455   4.1268e-06 0.9947412133  1.07805   PASS
 206  21115  10557  10557   4.0672e-06 0.9947666945  1.07806   PASS
 207  21321  10660  10660   4.0088e-06 0.9947919248  1.07807   PASS
 208  21528  10764  10764   3.9515e-06 0.9948169079  1.07808   PASS
 209  21736  10868  10868   3.8953e-06 0.9948416577  1.07809   PASS
 210  21945  10972  10972   3.8401e-06 0.9948661771  1.07810   PASS
 211  22155  11077  11077   3.7860e-06 0.9948904597  1.07811   PASS
 212  22366  11183  11183   3.7329e-06 0.9949145090  1.07812   PASS
 213  22578  11289  11289   3.6807e-06 0.9949383378  1.07813   PASS
 214  22791  11395  11395   3.6296e-06 0.9949619489  1.07814   PASS
 215  23005  11502  11502   3.5794e-06 0.9949853362  1.07815   PASS
 216  23220  11610  11610   3.5301e-06 0.9950085031  1.07816   PASS
 217  23436  11718  11718   3.4817e-06 0.9950314613  1.07817   PASS
 218  23653  11826  11826   3.4342e-06 0.9950542136  1.07818   PASS
 219  23871  11935  11935   3.3875e-06 0.9950767543  1.07819   PASS
 220  24090  12045  12045   3.3417e-06 0.9950990864  1.07820   PASS
 221  24310  12155  12155   3.2967e-06 0.9951212209  1.07821   PASS
 222  24531  12265  12265   3.2526e-06 0.9951431604  1.07822   PASS
 223  24753  12376  12376   3.2092e-06 0.9951648996  1.07823   PASS
 224  24976  12488  12488   3.1665e-06 0.9951864412  1.07824   PASS
 225  25200  12600  12600   3.1247e-06 0.9952077956  1.07825   PASS
 226  25425  12712  12712   3.0835e-06 0.9952289651  1.07825   PASS
 227  25651  12825  12825   3.0431e-06 0.9952499447  1.07826   PASS
 228  25878  12939  12939   3.0034e-06 0.9952707371  1.07827   PASS
 229  26106  13053  13053   2.9644e-06 0.9952913519  1.07828   PASS
 230  26335  13167  13167   2.9260e-06 0.9953117912  1.07829   PASS
 231  26565  13282  13282   2.8883e-06 0.9953320504  1.07830   PASS
 232  26796  13398  13398   2.8513e-06 0.9953521320  1.07831   PASS
 233  27028  13514  13514   2.8148e-06 0.9953720449  1.07831   PASS
 234  27261  13630  13630   2.7790e-06 0.9953917912  1.07832   PASS
 235  27495  13747  13747   2.7438e-06 0.9954113665  1.07833   PASS
 236  27730  13865  13865   2.7092e-06 0.9954307731  1.07834   PASS
 237  27966  13983  13983   2.6752e-06 0.9954500194  1.07835   PASS
 238  28203  14101  14101   2.6417e-06 0.9954691072  1.07835   PASS
 239  28441  14220  14220   2.6088e-06 0.9954880326  1.07836   PASS
 240  28680  14340  14340   2.5765e-06 0.9955067977  1.07837   PASS
 241  28920  14460  14460   2.5446e-06 0.9955254103  1.07838   PASS
 242  29161  14580  14580   2.5133e-06 0.9955438721  1.07838   PASS
 243  29403  14701  14701   2.4825e-06 0.9955621795  1.07839   PASS
 244  29646  14823  14823   2.4523e-06 0.9955803343  1.07840   PASS
 245  29890  14945  14945   2.4225e-06 0.9955983440  1.07841   PASS
 246  30135  15067  15067   2.3931e-06 0.9956162101  1.07841   PASS
 247  30381  15190  15190   2.3643e-06 0.9956339292  1.07842   PASS
 248  30628  15314  15314   2.3359e-06 0.9956515031  1.07843   PASS
 249  30876  15438  15438   2.3080e-06 0.9956689386  1.07843   PASS
 250  31125  15562  15562   2.2805e-06 0.9956862374  1.07844   PASS
 251  31375  15687  15687   2.2534e-06 0.9957033961  1.07845   PASS
 252  31626  15813  15813   2.2268e-06 0.9957204165  1.07846   PASS
 253  31878  15939  15939   2.2006e-06 0.9957373049  1.07846   PASS
 254  32131  16065  16065   2.1748e-06 0.9957540630  1.07847   PASS
 255  32385  16192  16192   2.1494e-06 0.9957706874  1.07847   PASS
 256  32640  16320  16320   2.1244e-06 0.9957871801  1.07848   PASS
 257  32896  16448  16448   2.0997e-06 0.9958035468  1.07849   PASS
 258  33153  16576  16576   2.0755e-06 0.9958197890  1.07849   PASS
 259  33411  16705  16705   2.0516e-06 0.9958359039  1.07850   PASS
 260  33670  16835  16835   2.0281e-06 0.9958518929  1.07851   PASS
 261  33930  16965  16965   2.0050e-06 0.9958677617  1.07851   PASS
 262  34191  17095  17095   1.9822e-06 0.9958835116  1.07852   PASS
 263  34453  17226  17226   1.9597e-06 0.9958991399  1.07853   PASS
 264  34716  17358  17358   1.9376e-06 0.9959146480  1.07853   PASS
 265  34980  17490  17490   1.9158e-06 0.9959300412  1.07854   PASS
 266  35245  17622  17622   1.8944e-06 0.9959453208  1.07854   PASS
 267  35511  17755  17755   1.8732e-06 0.9959604843  1.07855   PASS
 268  35778  17889  17889   1.8524e-06 0.9959755328  1.07856   PASS
 269  36046  18023  18023   1.8319e-06 0.9959904716  1.07856   PASS
 270  36315  18157  18157   1.8117e-06 0.9960053017  1.07857   PASS
 271  36585  18292  18292   1.7918e-06 0.9960200207  1.07857   PASS
 272  36856  18428  18428   1.7721e-06 0.9960346299  1.07858   PASS
 273  37128  18564  18564   1.7528e-06 0.9960491339  1.07859   PASS
 274  37401  18700  18700   1.7337e-06 0.9960635340  1.07859   PASS
 275  37675  18837  18837   1.7149e-06 0.9960778279  1.07860   PASS
 276  37950  18975  18975   1.6964e-06 0.9960920166  1.07860   PASS
 277  38226  19113  19113   1.6782e-06 0.9961061047  1.07861   PASS
 278  38503  19251  19251   1.6602e-06 0.9961200933  1.07861   PASS
 279  38781  19390  19390   1.6425e-06 0.9961339801  1.07862   PASS
 280  39060  19530  19530   1.6250e-06 0.9961477663  1.07863   PASS
 281  39340  19670  19670   1.6077e-06 0.9961614561  1.07863   PASS
 282  39621  19810  19810   1.5907e-06 0.9961750504  1.07864   PASS
 283  39903  19951  19951   1.5740e-06 0.9961885474  1.07864   PASS
 284  40186  20093  20093   1.5575e-06 0.9962019479  1.07865   PASS
 285  40470  20235  20235   1.5412e-06 0.9962152560  1.07865   PASS
 286  40755  20377  20377   1.5251e-06 0.9962284727  1.07866   PASS
 287  41041  20520  20520   1.5093e-06 0.9962415959  1.07866   PASS
 288  41328  20664  20664   1.4937e-06 0.9962546267  1.07867   PASS
 289  41616  20808  20808   1.4783e-06 0.9962675689  1.07867   PASS
 290  41905  20952  20952   1.4631e-06 0.9962804234  1.07868   PASS
 291  42195  21097  21097   1.4481e-06 0.9962931882  1.07868   PASS
 292  42486  21243  21243   1.4333e-06 0.9963058644  1.07869   PASS
 293  42778  21389  21389   1.4187e-06 0.9963184556  1.07869   PASS
